2026-07-12 19:08:50 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:08:51 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:09:51 | INFO     | gesture_draw | Window closed by user.
2026-07-12 19:09:51 | INFO     | gesture_draw | Camera released.
2026-07-12 19:09:51 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 19:09:59 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 19:09:59 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 19:10:06 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 19:10:07 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:10:08 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:10:14 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:10:17 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:10:24 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:10:28 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 19:10:33 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:10:35 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:10:36 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:10:46 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:10:50 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:10:52 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 19:10:53 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:10:54 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:10:56 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:10:57 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:10:57 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 19:10:58 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:11:01 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:11:02 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 19:11:03 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
